time_s,board_in,t79_2_secondary,q79_3_g1,q79_3_g2,q79_3_drain,q79_3_source
9.1649854e-05,-3.66160446e-05,0.14539897,0.679150329,1.4395753,3.45793727,1.73534703
9.1650854e-05,-3.12975769e-05,0.154330466,0.681379002,1.45217389,3.45793967,1.73534701
9.1651854e-05,-2.58790318e-05,0.162769581,0.683477345,1.46567793,3.457938,1.73534699
9.1652854e-05,-2.03777356e-05,0.170689261,0.685438632,1.48004425,3.45793215,1.73534697
9.1653854e-05,-1.48112794e-05,0.178064102,0.687256568,1.49522692,3.45792205,1.73534695
9.1654854e-05,-9.19746244e-06,0.184870426,0.688925318,1.51117741,3.45790764,1.73534694
9.1655854e-05,-3.55423561e-06,0.191086365,0.690439516,1.52784472,3.45788891,1.73534692
9.1656854e-05,2.10035628e-06,0.196691928,0.691794291,1.54517557,3.45786589,1.7353469
9.1657854e-05,7.74823205e-06,0.20166907,0.692985281,1.56311456,3.45783865,1.73534688
9.1658854e-05,1.3371332e-05,0.206001744,0.694008642,1.58160432,3.45780728,1.73534687
9.1659854e-05,1.89516756e-05,0.209675965,0.694861069,1.60058576,3.45777194,1.73534685
9.1660854e-05,2.44714192e-05,0.212679844,0.6955398,1.6199982,3.4577328,1.73534683
9.1661854e-05,2.99129127e-05,0.215003639,0.696042628,1.63977957,3.45769009,1.73534682
9.1662854e-05,3.52587564e-05,0.216639781,0.696367912,1.65986663,3.45764407,1.7353468
9.1663854e-05,4.04918563e-05,0.217582902,0.696514575,1.68019517,3.45759507,1.73534678
9.1664854e-05,4.55954791e-05,0.217829855,0.696482116,1.7007002,3.45754341,1.73534677
9.1665854e-05,5.05533053e-05,0.217379722,0.696270604,1.72131618,3.45748948,1.73534675
9.1666854e-05,5.53494817e-05,0.216233825,0.695880687,1.74197718,3.45743371,1.73534674
9.1667854e-05,5.99686721e-05,0.214395716,0.695313584,1.76261717,3.45737654,1.73534672
9.1668854e-05,6.43961061e-05,0.211871174,0.694571081,1.78317015,3.45731846,1.7353467
9.1669854e-05,6.86176264e-05,0.208668183,0.693655532,1.80357044,3.45725999,1.73534669
9.1670854e-05,7.26197343e-05,0.204796908,0.692569844,1.82375279,3.45720166,1.73534667
9.1671854e-05,7.63896326e-05,0.200269665,0.691317474,1.84365271,3.45714403,1.73534665
9.1672854e-05,7.99152667e-05,0.195100884,0.689902414,1.86320657,3.45708756,1.73534663
9.1673854e-05,8.31853629e-05,0.189307059,0.688329182,1.88235186,3.45703241,1.73534662
9.1674854e-05,8.61894647e-05,0.1829067,0.686602803,1.90102737,3.45697861,1.7353466
9.1675854e-05,8.89179663e-05,0.175920271,0.6847288,1.9191734,3.45692631,1.73534658
9.1676854e-05,9.13621428e-05,0.168370125,0.682713167,1.93673193,3.45687562,1.73534656
9.1677854e-05,9.35141789e-05,0.160280436,0.680562358,1.95364685,3.45682666,1.73534654
9.1678854e-05,9.53671931e-05,0.151677116,0.678283263,1.96986406,3.45677954,1.73534652
9.1679854e-05,9.69152601e-05,0.142587733,0.675883186,1.98533172,3.45673437,1.7353465
9.1680854e-05,9.815343e-05,0.133041427,0.673369819,2.00000039,3.45669123,1.73534648
9.1681854e-05,9.90777435e-05,0.123068807,0.670751223,2.01382317,3.45665024,1.73534646
9.1682854e-05,9.9685245e-05,0.112701861,0.668035796,2.02675587,3.45661146,1.73534644
9.1683854e-05,9.99739919e-05,0.101973846,0.665232249,2.03875715,3.45657497,1.73534642
9.1684854e-05,9.9943061e-05,0.0909191833,0.662349577,2.04978863,3.45654085,1.7353464
9.1685854e-05,9.95925512e-05,0.0795733459,0.65939703,2.05981506,3.45650914,1.73534638
9.1686854e-05,9.89235832e-05,0.0679727437,0.656384084,2.06880438,3.4564799,1.73534636
9.1687854e-05,9.79382962e-05,0.0561546054,0.653320405,2.07672784,3.45645317,1.73534633
9.1688854e-05,9.66398407e-05,0.0441568576,0.650215828,2.08356013,3.45642898,1.73534631
9.1689854e-05,9.50323687e-05,0.0320180019,0.647080313,2.08927939,3.45640735,1.73534628
9.1690854e-05,9.31210202e-05,0.01977699,0.643923922,2.09386734,3.45638831,1.73534626
9.1691854e-05,9.0911907e-05,0.00747309725,0.640756783,2.09730932,3.45637185,1.73534624
9.1692854e-05,8.8412093e-05,-0.00485420439,0.637589055,2.09959432,3.45635798,1.73534621
9.1693854e-05,8.56295716e-05,-0.0171653745,0.634430899,2.10071503,3.45634669,1.73534618
9.1694854e-05,8.25732402e-05,-0.0294209322,0.631292443,2.10066788,3.45633795,1.73534616
9.1695854e-05,7.92528717e-05,-0.0415815837,0.628183748,2.09945301,3.45633175,1.73534613
9.1696854e-05,7.56790835e-05,-0.0536083494,0.62511478,2.09707431,3.45632803,1.7353461
9.1697854e-05,7.18633031e-05,-0.0654626898,0.622095371,2.09353938,3.45632678,1.73534607
9.1698854e-05,6.78177319e-05,-0.0771066298,0.619135196,2.08885952,3.45632793,1.73534605
9.1699854e-05,6.3555306e-05,-0.0885028808,0.616243732,2.08304969,3.45633142,1.73534602
9.1700854e-05,5.90896551e-05,-0.0996149609,0.613430237,2.07612847,3.4563372,1.73534599
9.1701854e-05,5.44350584e-05,-0.110407312,0.610703712,2.06811798,3.45634519,1.73534596
9.1702854e-05,4.96063997e-05,-0.120845414,0.608072877,2.05904383,3.45635532,1.73534593
9.1703854e-05,4.4619119e-05,-0.130895895,0.605546145,2.04893503,3.4563675,1.7353459
9.1704854e-05,3.94891638e-05,-0.140526639,0.603131587,2.0378239,3.45638165,1.73534587
9.1705854e-05,3.42329377e-05,-0.149706884,0.600836916,2.02574595,3.45639766,1.73534583
9.1706854e-05,2.8867248e-05,-0.158407328,0.598669455,2.0127398,3.45641545,1.7353458
9.1707854e-05,2.3409252e-05,-0.166600215,0.596636117,1.99884703,3.45643491,1.73534577
9.1708854e-05,1.78764024e-05,-0.174259424,0.594743385,1.98411205,3.45645593,1.73534574
9.1709854e-05,1.22863911e-05,-0.181360556,0.592997287,1.96858196,3.45647839,1.73534571
9.1710854e-05,6.65709263e-06,-0.187881005,0.591403379,1.95230642,3.45650219,1.73534567
9.1711854e-05,1.0065074e-06,-0.193800033,0.589966729,1.93533746,3.4565272,1.73534564
9.1712854e-05,-4.64729625e-06,-0.199098832,0.5886919,1.91772932,3.4565533,1.73534561
9.1713854e-05,-1.02862397e-05,-0.203760587,0.587582936,1.8995383,3.45658036,1.73534557
9.1714854e-05,-1.58922917e-05,-0.207770522,0.586643348,1.88082254,3.45660825,1.73534554
9.1715854e-05,-2.14475264e-05,-0.211115952,0.585876107,1.86164189,3.45663685,1.7353455
9.1716854e-05,-2.69341802e-05,-0.213786317,0.585283629,1.84205766,3.45666602,1.73534547
9.1717854e-05,-3.23347091e-05,-0.215773215,0.584867774,1.82213246,3.45669562,1.73534544
9.1718854e-05,-3.76318441e-05,-0.21707043,0.584629837,1.80192998,3.45672552,1.7353454
9.1719854e-05,-4.28086472e-05,-0.217673946,0.584570545,1.78151482,3.45675558,1.73534537
9.1720854e-05,-4.78485649e-05,-0.217581961,0.584690054,1.76095224,3.45678567,1.73534533
9.1721854e-05,-5.27354816e-05,-0.216794892,0.584987952,1.74030797,3.45681566,1.7353453
9.1722854e-05,-5.74537708e-05,-0.215315367,0.585463257,1.71964801,3.4568454,1.73534527
9.1723854e-05,-6.19883452e-05,-0.213148221,0.586114423,1.69903841,3.45687475,1.73534523
9.1724854e-05,-6.6324705e-05,-0.210300477,0.586939344,1.67854505,3.4569036,1.7353452
9.1725854e-05,-7.04489844e-05,-0.206781321,0.587935363,1.65823346,3.45693179,1.73534516
9.1726854e-05,-7.43479953e-05,-0.202602074,0.589099278,1.63816856,3.45695923,1.73534513
9.1727854e-05,-7.80092703e-05,-0.197776152,0.590427353,1.6184145,3.45698613,1.7353451
