time_s,q79_3_drain,c79_17_node,filt_loop,audio_terminal,pin_bias,agc_store
0.0048096,3.32538829,3.36114017,-0.00196087412,-1.51013459,0.0396760438,1.16419043
0.0048104,3.32521499,3.36112537,-0.00196988172,-1.5128799,0.0396762896,1.16419014
0.0048112,3.32659896,3.36111135,-0.00197809824,-1.51558276,0.0396550566,1.16418985
0.004812,3.32738445,3.36109842,-0.00198523007,-1.51824308,0.0396417719,1.16418956
0.0048128,3.32666275,3.36108596,-0.00199189919,-1.52086076,0.0396554228,1.16418927
0.0048136,3.32548396,3.36107345,-0.00199860838,-1.5234357,0.0396765874,1.16418898
0.0048144,3.32534126,3.36106106,-0.00200521203,-1.52596783,0.0396762797,1.16418869
0.0048152,3.3267383,3.36104946,-0.00201101649,-1.52845709,0.0396548679,1.1641884
0.004816,3.32751726,3.36103895,-0.00201573708,-1.5309034,0.0396420503,1.16418811
0.0048168,3.32678211,3.36102889,-0.0020200036,-1.53330665,0.0396561514,1.16418782
0.0048176,3.32561843,3.3610188,-0.00202431287,-1.53566677,0.039677121,1.16418753
0.0048184,3.32550631,3.36100882,-0.00202850643,-1.53798368,0.0396762589,1.16418724
0.0048192,3.32691604,3.36099965,-0.00203189251,-1.54025731,0.0396546811,1.16418695
0.00482,3.32768816,3.36099157,-0.00203419565,-1.54248761,0.0396423418,1.16418666
0.0048208,3.32693978,3.36098394,-0.0020360538,-1.54467446,0.0396568846,1.16418637
0.0048216,3.32579175,3.36097626,-0.00203795751,-1.5468178,0.0396776451,1.16418608
0.0048224,3.32571017,3.36096872,-0.00203973563,-1.54891755,0.03967623,1.16418579
