time_s,pto_emitter_v,crystal_q89_3_drain_v
9.263597956437e-05,1.954410609035e+00,7.744132690573e+00
9.263797956437e-05,1.943376173004e+00,7.743870711553e+00
9.263997956437e-05,1.931282827422e+00,7.743618392591e+00
9.264197956437e-05,1.918183189436e+00,7.743378141243e+00
9.264397956437e-05,1.904134254483e+00,7.743152193284e+00
9.264597956437e-05,1.889197148315e+00,7.742942596463e+00
9.264797956437e-05,1.873436861041e+00,7.742751191701e+00
9.264997956437e-05,1.856921964366e+00,7.742579597839e+00
9.265197956437e-05,1.839724313235e+00,7.742429200044e+00
9.265397956437e-05,1.821918733202e+00,7.742301141860e+00
9.265597956437e-05,1.803582694870e+00,7.742196320898e+00
9.265797956437e-05,1.784795976821e+00,7.742115388025e+00
9.265997956437e-05,1.765640318507e+00,7.742058749937e+00
9.266197956437e-05,1.746199064611e+00,7.742026574869e+00
9.266397956437e-05,1.726556802415e+00,7.742018801211e+00
9.266597956437e-05,1.706798993773e+00,7.742035148691e+00
9.266797956437e-05,1.687011603274e+00,7.742075131789e+00
9.266997956437e-05,1.667280724211e+00,7.742138074956e+00
9.267197956437e-05,1.647692204005e+00,7.742223129229e+00
9.267397956437e-05,1.628331270682e+00,7.742329289755e+00
9.267597956437e-05,1.609282162058e+00,7.742455413772e+00
9.267797956437e-05,1.590627759225e+00,7.742600238539e+00
9.267997956437e-05,1.572449225942e+00,7.742762398770e+00
9.268197956437e-05,1.554825655502e+00,7.742940443101e+00
9.268397956437e-05,1.537833726598e+00,7.743132849217e+00
9.268597956437e-05,1.521547369703e+00,7.743338037266e+00
9.268797956437e-05,1.506037445407e+00,7.743554381334e+00
9.268997956437e-05,1.491371436103e+00,7.743780218781e+00
9.269197956437e-05,1.477613152382e+00,7.744013857419e+00
9.269397956437e-05,1.464822455396e+00,7.744253580576e+00
9.269597956437e-05,1.453054996407e+00,7.744497650267e+00
9.269797956437e-05,1.442361974653e+00,7.744744309394e+00
9.269997956437e-05,1.432789914585e+00,7.744991780383e+00
9.270197956437e-05,1.424380463443e+00,7.745238268374e+00
9.270397956437e-05,1.417170210052e+00,7.745481962988e+00
9.270597956437e-05,1.411190525626e+00,7.745721021130e+00
9.270797956437e-05,1.406467427277e+00,7.745953587914e+00
9.270997956437e-05,1.403021464813e+00,7.746177808427e+00
9.271197956437e-05,1.400867631332e+00,7.746391816162e+00
9.271397956437e-05,1.400015297984e+00,7.746593750578e+00
9.271597956437e-05,1.400468173202e+00,7.746781771076e+00
9.271797956437e-05,1.402224286562e+00,7.746954074549e+00
9.271997956437e-05,1.405275997362e+00,7.747108916416e+00
9.272197956437e-05,1.409610027860e+00,7.747244634706e+00
9.272397956437e-05,1.415207521049e+00,7.747359676632e+00
9.272597956437e-05,1.422044122701e+00,7.747452626831e+00
9.272797956437e-05,1.430090087328e+00,7.747522236336e+00
9.272997956437e-05,1.439310407605e+00,7.747567451190e+00
9.273197956437e-05,1.449664966684e+00,7.747587439641e+00
9.273397956437e-05,1.461108712737e+00,7.747581616777e+00
9.273597956437e-05,1.473591854973e+00,7.747549665659e+00
9.273797956437e-05,1.487060080275e+00,7.747491554003e+00
9.273997956437e-05,1.501454789512e+00,7.747407545791e+00
9.274197956437e-05,1.516713352497e+00,7.747298207240e+00
9.274397956437e-05,1.532769380489e+00,7.747164406910e+00
9.274597956437e-05,1.549553015040e+00,7.747007309853e+00
9.274797956437e-05,1.566991231948e+00,7.746828365987e+00
9.274997956437e-05,1.585008158978e+00,7.746629293000e+00
9.275197956437e-05,1.603525405974e+00,7.746412054315e+00
9.275397956437e-05,1.622462405929e+00,7.746178832694e+00
9.275597956437e-05,1.641736765527e+00,7.745932000228e+00
9.275797956437e-05,1.661264623627e+00,7.745674085433e+00
9.275997956437e-05,1.680961016138e+00,7.745407738275e+00
9.276197956437e-05,1.700740245689e+00,7.745135693861e+00
9.276397956437e-05,1.720516254492e+00,7.744860735594e+00
9.276597956437e-05,1.740202998773e+00,7.744585658450e+00
9.276797956437e-05,1.759714823141e+00,7.744313233082e+00
9.276997956437e-05,1.778966833263e+00,7.744046171300e+00
9.277197956437e-05,1.797875265242e+00,7.743787093470e+00
