time_s,u89_1_pin1_v,u89_1_pin4_v,u89_1_signal_diff_v,u89_1_pin8_v,u89_1_pin10_v,u89_1_carrier_diff_v,u89_1_pin6_v,u89_1_pin12_v,u89_1_output_diff_v
7.308197956433e-05,6.685782341716e+00,6.783253193646e+00,-9.747085193008e-02,1.000873857109e+01,1.001845475617e+01,-9.716185077069e-03,1.281938213392e+01,1.276654418059e+01,5.283795332593e-02
7.308397956433e-05,6.680893492434e+00,6.783241521464e+00,-1.023480290306e-01,1.000698351024e+01,1.001838574825e+01,-1.140223801071e-02,1.282109704151e+01,1.276800801314e+01,5.308902836987e-02
7.308597956433e-05,6.676466348849e+00,6.783229062277e+00,-1.067627134281e-01,1.000536369211e+01,1.001830969077e+01,-1.294599866707e-02,1.282137423993e+01,1.276953714375e+01,5.183709618562e-02
7.308797956433e-05,6.672520366622e+00,6.783215903456e+00,-1.106955368337e-01,1.000389266911e+01,1.001822728657e+01,-1.433461746061e-02,1.282021067553e+01,1.277108794448e+01,4.912273104789e-02
7.308997956433e-05,6.669072880292e+00,6.783202138184e+00,-1.141292578920e-01,1.000258243876e+01,1.001813929005e+01,-1.555685129232e-02,1.281763957853e+01,1.277261597902e+01,4.502359951863e-02
7.309197956433e-05,6.666139104745e+00,6.783187864651e+00,-1.170487599059e-01,1.000144338218e+01,1.001804649971e+01,-1.660311752222e-02,1.281372963217e+01,1.277407734866e+01,3.965228351785e-02
7.309397956433e-05,6.663731988748e+00,6.783173185208e+00,-1.194411964605e-01,1.000048416914e+01,1.001794975052e+01,-1.746558138713e-02,1.280858316620e+01,1.277543005353e+01,3.315311267009e-02
7.309597956433e-05,6.661862228946e+00,6.783158205496e+00,-1.212959765502e-01,9.999711748148e+00,1.001784990621e+01,-1.813815806646e-02,1.280233341311e+01,1.277663536806e+01,2.569804504441e-02
7.309797956433e-05,6.660538107181e+00,6.783143033541e+00,-1.226049263599e-01,9.999131462167e+00,1.001774785075e+01,-1.861638858392e-02,1.279514160258e+01,1.277765682240e+01,1.748478018337e-02
7.309997956433e-05,6.659766368443e+00,6.783127780509e+00,-1.233614120662e-01,9.998749451475e+00,1.001764450093e+01,-1.889504945790e-02,1.278718643002e+01,1.277846809881e+01,8.718331214430e-03
7.310197956433e-05,6.659548390528e+00,6.783112554840e+00,-1.235641643124e-01,9.998559776800e+00,1.001754074753e+01,-1.898097072526e-02,1.277867100230e+01,1.277905600638e+01,-3.850040868301e-04
7.310397956433e-05,6.659887667608e+00,6.783097465334e+00,-1.232097977265e-01,9.998568187045e+00,1.001743746773e+01,-1.886928068128e-02,1.276981554499e+01,1.277939314771e+01,-9.577602721260e-03
7.310597956433e-05,6.660781695953e+00,6.783082622542e+00,-1.223009265890e-01,9.998774141543e+00,1.001733557403e+01,-1.856143248239e-02,1.276083800682e+01,1.277946765059e+01,-1.862964376865e-02
7.310797956433e-05,6.662227167886e+00,6.783068133219e+00,-1.208409653334e-01,9.999172115631e+00,1.001723594801e+01,-1.806383237754e-02,1.275195900666e+01,1.277929242607e+01,-2.733341940673e-02
7.310997956433e-05,6.664217710383e+00,6.783054102118e+00,-1.188363917350e-01,9.999759664024e+00,1.001713944433e+01,-1.737978030162e-02,1.274339533197e+01,1.277886949104e+01,-3.547415906793e-02
7.311197956433e-05,6.666744850226e+00,6.783040630415e+00,-1.162957801891e-01,1.000052970786e+01,1.001704689326e+01,-1.651718540097e-02,1.273535314981e+01,1.277821317415e+01,-4.286002434088e-02
