time_s,filt_input,audio_opamp,audio_terminal,agc_opamp,d79_6_anode,agc_store,pin_bias,d79_1_feed
0.11412,0.00684542341,7.38175664,0.504940331,8.46469293,2.84616625,2.29529989,0.603073054,0.587712432
0.11414,0.00770507884,7.48295408,0.605692938,8.77808495,2.84316496,2.29595844,0.603454378,0.587990026
0.11416,0.00844322057,7.57467641,0.696893556,9.06131975,2.83904958,2.2965552,0.60382332,0.588257215
0.11418,0.00904820767,7.65547709,0.777103864,9.3099304,2.83357782,2.29708117,0.604172502,0.588508708
0.1142,0.00951049912,7.72408181,0.845058873,9.51999604,2.82637625,2.29752881,0.604495334,0.588739841
0.11422,0.00982280433,7.77940862,0.899686873,9.68820373,2.81683871,2.29789236,0.604786089,0.588946633
0.11424,0.00998019804,7.82058497,0.94012634,9.81190063,2.80391456,2.29816841,0.605040034,0.589125848
0.11426,0.00998019807,7.8469615,0.965739525,9.88913575,2.78564275,2.29835699,0.60525363,0.589275143
0.11428,0.00982280442,7.85812224,0.976122512,9.91869049,2.75812586,2.29846379,0.605424945,0.589393338
0.1143,0.00951049927,7.85389123,0.971111585,9.90009837,2.71369104,2.29850416,0.605554431,0.589480979
0.11432,0.00904820786,7.83433522,0.950785812,9.83365519,2.64008076,2.29850482,0.605646017,0.589541125
0.11434,0.00844322081,7.79976267,0.915465788,9.72041255,2.52597085,2.29849209,0.605707047,0.589579313
0.11436,0.00770507913,7.75071885,0.86570857,9.56215508,2.36778337,2.29847741,0.605745682,0.589601657
0.11438,0.00684542375,7.68797725,0.802298894,9.36137725,2.16715193,2.2984626,0.605768517,0.589613066
0.1144,0.00587781194,7.61252736,0.726236793,9.12124538,1.92719387,2.29844777,0.605780324,0.589617051
0.11442,0.00481750353,7.52555909,0.638721828,8.8455466,1.65169878,2.29843293,0.605784508,0.589616081
0.11444,0.00368122021,7.42844398,0.541134162,8.53866958,1.34749368,2.29841808,0.605783489,0.589611884
0.11446,0.00248688185,7.32271349,0.435012702,8.20536427,1.20355826,2.29840335,0.60577899,0.589605665
0.11448,0.00125332387,7.21003507,0.322031069,7.85091888,1.19875998,2.2983887,0.605772239,0.589598264
0.1145,2.31826114e-10,7.09218578,0.2039711,7.48096294,1.19655279,2.29837406,0.605764071,0.589590236
0.11452,-0.00125332341,6.97102412,0.0826946248,7.10130755,1.1953369,2.29835942,0.605755062,0.589581946
0.11454,-0.0024868814,6.84846084,-0.0398858018,6.71793969,1.19507957,2.29834477,0.605745599,0.589573629
0.11456,-0.00368121978,6.72642879,-0.161837055,6.33690498,1.19577067,2.29833013,0.605735941,0.589565429
0.11458,-0.00481750312,6.60685246,-0.281235923,5.9642123,1.19741798,2.29831549,0.605726257,0.589557431
0.1146,-0.00587781157,6.49161762,-0.396199438,5.60573902,1.20004824,2.29830085,0.605716648,0.589549674
0.11462,-0.00684542341,6.38254157,-0.504914566,5.26713835,1.20371147,2.29828621,0.605707175,0.589542173
0.11464,-0.00770507884,6.28134452,-0.605666802,4.95375017,1.20848944,2.29827157,0.605697868,0.589534925
0.11466,-0.00844322057,6.18962242,-0.69686721,4.67051681,1.21451107,2.29825694,0.605688737,0.589527915
0.11468,-0.00904820766,6.1088218,-0.777077486,4.42190514,1.22197958,2.2982423,0.605679782,0.589521126
0.1147,-0.00951049912,6.04021696,-0.845032639,4.21183606,1.23122271,2.29822766,0.605670992,0.589514533
0.11472,-0.00982280433,5.98488985,-0.899660953,4.04362273,1.2427904,2.29821303,0.605662355,0.589508115
0.11474,-0.00998019804,5.94371306,-0.940100882,3.91991833,1.25765795,2.2981984,0.605653857,0.589501851
0.11476,-0.00998019807,5.91733597,-0.965714648,3.84267433,1.27767509,2.29818377,0.605645481,0.589495719
0.11478,-0.00982280442,5.90617458,-0.976098299,3.81310989,1.30657092,2.29816915,0.605637212,0.589489701
0.1148,-0.00951049927,5.91040491,-0.971088077,3.83169217,1.35182931,2.29815454,0.605629039,0.589483782
0.11482,-0.00904820786,5.92996024,-0.950763005,3.89812607,1.42571825,2.29813994,0.605620948,0.589477948
0.11484,-0.00844322081,5.96453216,-0.915443633,4.01136035,1.53986171,2.29812538,0.605612932,0.589472188
0.11486,-0.00770507913,6.01357543,-0.865686979,4.16961088,1.6980444,2.29811085,0.605604983,0.589466493
0.11488,-0.00684542375,6.07631661,-0.802277743,4.37038372,1.89867084,2.29809635,0.605597095,0.589460856
0.1149,-0.00587781194,6.15176623,-0.726215929,4.61051288,2.13862614,2.29808189,0.605589262,0.58945527
0.11492,-0.00481750353,6.2387344,-0.63870108,4.88621139,2.41412102,2.29806749,0.60558148,0.58944973
0.11494,-0.00368122021,6.33584959,-0.541113351,5.19309054,2.71838264,2.29805821,0.605573885,0.589444323
0.11496,-0.00248688185,6.44158034,-0.434991648,5.52641331,2.85056076,2.29847145,0.605593362,0.589457892
0.11498,-0.00125332387,6.55425917,-0.322009618,5.88085258,2.85396775,2.29920368,0.605712479,0.589544598
0.115,-2.31795028e-10,6.67210901,-0.203949118,6.25081663,2.85631088,2.2999712,0.605917684,0.589694609
0.11502,0.00125332341,6.79327132,-0.08267201,6.63048133,2.85795001,2.30076086,0.606188633,0.589892296
0.11504,0.0024868814,6.91583532,0.0399091121,7.01385901,2.85890479,2.30155986,0.606509,0.590125202
0.11506,0.00368121978,7.0378681,0.16186108,7.39490345,2.85917117,2.30235536,0.606864905,0.590382837
0.11508,0.00481750312,7.15744514,0.281260637,7.76760515,2.85872322,2.30313462,0.607244179,0.590656105
0.1151,0.00587781157,7.27268062,0.396224771,8.12608616,2.85751209,2.30388525,0.607635947,0.590936978
0.11512,0.00684542341,7.38175719,0.50494041,8.4646928,2.85546175,2.30459537,0.608030359,0.591218285
0.11514,0.00770507884,7.48295463,0.605693018,8.77808481,2.8524604,2.30525387,0.608418455,0.591493596
0.11516,0.00844322057,7.57467697,0.696893635,9.06131962,2.84834496,2.30585056,0.608792086,0.591757151
0.11518,0.00904820767,7.65547764,0.777103943,9.30993027,2.84287314,2.30637648,0.609143908,0.592003837
0.1152,0.00951049912,7.72408236,0.845058952,9.51999591,2.83567151,2.30682405,0.609467409,0.592229191
0.11522,0.00982280433,7.77940917,0.899686952,9.6882036,2.82613391,2.30718754,0.609756974,0.592429435
0.11524,0.00998019804,7.82058552,0.940126419,9.8119005,2.81320971,2.30746353,0.610008013,0.592601542
0.11526,0.00998019807,7.84696205,0.965739604,9.88913562,2.79493784,2.30765205,0.610217167,0.592743377
0.11528,0.00982280442,7.85812279,0.97612259,9.91869035,2.7674209,2.30775879,0.610382739,0.592853978
0.1153,0.00951049927,7.85389178,0.971111663,9.90009824,2.72298603,2.3077991,0.610505521,0.592934132
0.11532,0.00904820786,7.83433577,0.95078589,9.83365506,2.64937571,2.3077997,0.610589941,0.592987191
0.11534,0.00844322081,7.79976322,0.915465866,9.72041242,2.53526572,2.30778692,0.61064396,0.593019007
0.11536,0.00770507913,7.7507194,0.865708648,9.56215495,2.37707813,2.30777217,0.610676245,0.593035912
0.11538,0.00684542375,7.6879778,0.802298971,9.36137712,2.17644652,2.3077573,0.610693645,0.593042875
0.1154,0.00587781194,7.61252791,0.726236871,9.12124525,1.93648821,2.30774241,0.610700983,0.593043351
0.11542,0.00481750353,7.52555964,0.638721905,8.84554647,1.66099231,2.30772751,0.610701602,0.593039695
0.11544,0.00368122021,7.42844453,0.541134239,8.53866235,1.35632471,2.3077126,0.610697813,0.593033502
0.11546,0.00248688185,7.32271404,0.435012784,8.20536814,1.20383895,2.3076978,0.610691209,0.593025849
0.11548,0.00125332387,7.21003562,0.322031149,7.85091877,1.19876051,2.3076831,0.610682894,0.593017457
0.1155,2.31763053e-10,7.09218633,0.203971179,7.48096282,1.19655279,2.30766839,0.61067359,0.59300878
0.11552,-0.00125332341,6.97102467,0.0826947025,7.10130742,1.19533691,2.30765369,0.610663773,0.593000097
0.11554,-0.0024868814,6.84846139,-0.0398857247,6.71793956,1.19507957,2.30763899,0.610653751,0.592991577
0.11556,-0.00368121978,6.72642934,-0.161836978,6.33690485,1.19577067,2.30762428,0.610643716,0.59298331
0.11558,-0.00481750312,6.60685301,-0.281235847,5.96421217,1.19741798,2.30760958,0.610633786,0.592975337
0.1156,-0.00587781157,6.49161816,-0.396199363,5.60573889,1.20004825,2.30759488,0.610624022,0.592967669
0.11562,-0.00684542341,6.38254212,-0.504914491,5.26713822,1.20371147,2.30758018,0.610614455,0.592960296
0.11564,-0.00770507884,6.28134507,-0.605666727,4.95375004,1.20848945,2.30756548,0.610605092,0.5929532
0.11566,-0.00844322057,6.18962297,-0.696867135,4.67051668,1.21451107,2.30755079,0.610595929,0.592946353
0.11568,-0.00904820767,6.10882235,-0.777077411,4.421905,1.22197958,2.30753609,0.610586951,0.592939728
0.1157,-0.00951049912,6.0402175,-0.845032565,4.21183593,1.23122271,2.30752139,0.610578143,0.592933299
0.11572,-0.00982280433,5.9848904,-0.899660878,4.0436226,1.2427904,2.3075067,0.610569486,0.592927038
0.11574,-0.00998019804,5.94371361,-0.940100808,3.9199182,1.25765796,2.30749201,0.610560962,0.592920923
0.11576,-0.00998019807,5.91733652,-0.965714574,3.84267419,1.2776751,2.30747732,0.610552552,0.592914932
0.11578,-0.00982280442,5.90617513,-0.976098225,3.81310975,1.30657093,2.30746264,0.610544243,0.592909046
